GCoM_ID,signatory name,country code,Covenant Region,Year of adhesion,population adhesion year, signatory adhesion type , latitude , longitude ,area, NUTS3 , LAU1 , LAU2 , FUA_ID , CITY_ID/GREATER_CITY_ID , CITY or Greater City ,population in 2018, degree of urbanisation ,Heating Degree-Days (HDD),reference year HDD,"GDP per capita at NUTS3 [Euro per inhabitant]"," GHG emissions per capita in GCoM sectors_EDGAR [tCO2-eq/year] ",reference years in EDGAR,  Mitigation reduction target 2020 [%] ,  Mitigation reduction target 2030 [%] , reduction_type_id 
IT4281,Roccagloriosa,it,Europe EU27,2012,1742.00,As a group of signatories committing collectively (joint SEAP - option 2), 40.12 , 15.44 ,40.56, ITF35 ,, IT065107 ,, NaN , Other ,1698.00, 3.00 ,1213.72,2011,16644.44, 4.53 ,2012, NaN , NaN , NaN 
IT4737,Roccasparvera,it,Europe EU27,2017,770.00,As a group of signatories committing collectively (joint SEAP - option 2), 44.35 , 7.43 ,11.24, ITC16 ,, IT004191 ,, NaN , Other ,742.00, 3.00 ,2455.48,2008,29100.00, 4.14 ,2017, NaN , NaN , NaN 
IT4317,Roccaspide,it,Europe EU27,2013,7462.00,As a group of signatories committing collectively (joint SEAP - option 2), 40.40 , 15.38 ,64.16, ITF35 ,, IT065106 ,, NaN , Other ,7116.00, 2.00 ,1261.99,2007,16644.44, 4.27 ,2013, NaN , NaN , NaN 
IT4447,Roccavignale,it,Europe EU27,2013,766.00,As a group of signatories committing collectively (joint SEAP - option 2), 44.39 , 8.21 ,17.71, ITC32 ,, IT009054 ,, NaN , Other ,766.00, 3.00 ,1650.27,2005,27138.89, 4.27 ,2013, NaN , NaN , NaN 
IT4655,Roccavione,it,Europe EU27,2016,2889.00,As a group of signatories committing collectively (joint SEAP - option 2), 44.30 , 7.48 ,19.15, ITC16 ,, IT004192 ,, NaN , Other ,2648.00, 3.00 ,2391.24,2012,29100.00, 4.17 ,2016, NaN , NaN , NaN 
IT4421,Rogolo,it,Europe EU27,2013,583.00,As a group of signatories committing collectively (joint SEAP - option 2), 46.10 , 9.49 ,12.83, ITC44 ,, IT014056 ,, NaN , Other ,553.00, 3.00 ,4747.34,2005,26883.33, 4.27 ,2013, NaN , NaN , NaN 
IT4550,Romallo,it,Europe EU27,2014,620.00,As a group of signatories committing collectively (joint SEAP - option 2), 46.40 , 11.07 ,2.44, ITH20 ,, IT022154 ,, NaN , Other ,615.00, 3.00 ,3121.33,2014,33155.56, 4.04 ,2014, NaN , NaN , NaN 
IT4551,Romeno,it,Europe EU27,2014,1397.00,As a group of signatories committing collectively (joint SEAP - option 2), 46.39 , 11.11 ,9.13, ITH20 ,, IT022155 ,, NaN , Other ,1397.00, 3.00 ,3121.33,2014,33155.56, 4.04 ,2014, NaN , NaN , NaN 
IT4515,Roncade,it,Europe EU27,2014,14561.00,As a group of signatories committing collectively (joint SEAP - option 2), 45.61 , 12.40 ,61.78, ITH34 ,, IT026069 ,, NaN , Other ,14561.00, 2.00 ,1794.13,2007,29861.11, 4.04 ,2014, NaN , NaN , NaN 
IT4552,Ronzone,it,Europe EU27,2014,436.00,As a group of signatories committing collectively (joint SEAP - option 2), 46.43 , 11.16 ,5.30, ITH20 ,, IT022159 ,, NaN , Other ,436.00, 3.00 ,3121.33,2014,33155.56, 4.04 ,2014, NaN , NaN , NaN 
IT4318,Roscigno,it,Europe EU27,2013,878.00,As a group of signatories committing collectively (joint SEAP - option 2), 40.40 , 15.38 ,15.18, ITF35 ,, IT065111 ,, NaN , Other ,792.00, 3.00 ,1261.99,2007,16644.44, 4.27 ,2013, NaN , NaN , NaN 
IT4644,Rosolina,it,Europe EU27,2016,6511.00,As a group of signatories committing collectively (joint SEAP - option 2), 45.08 , 12.25 ,74.69, ITH37 ,, IT029040 ,, NaN , Other ,6456.00, 2.00 ,1902.93,2006,24316.67, 4.17 ,2016, NaN , NaN , NaN 
IT4463,Rotondi,it,Europe EU27,2014,3654.00,As a group of signatories committing collectively (joint SEAP - option 2), 41.08 , 14.70 ,7.81, ITF34 ,, IT064080 ,, NaN , Other ,3654.00, 3.00 ,1555.61,2011,16733.33, 4.04 ,2014, NaN , NaN , NaN 
IT4652,Rovigo,it,Europe EU27,2016,52793.00,As a group of signatories committing collectively (joint SEAP - option 2), 45.07 , 11.79 ,108.81, ITH37 ,, IT029041 ,, NaN , Other ,51149.00, 2.00 ,1902.93,2006,24316.67, 4.17 ,2016, NaN , NaN , NaN 
IT4553,Ruffrè - Mendola,it,Europe EU27,2014,428.00,As a group of signatories committing collectively (joint SEAP - option 2), 46.42 , 11.19 ,6.58, ITH20 ,, IT022162 ,, NaN , Other ,407.00, 3.00 ,3121.33,2014,33155.56, 4.04 ,2014, NaN , NaN , NaN 
BE0395,Ruiselede,be,Europe EU27,2015,5409.00,As a group of signatories committing collectively (joint SEAP - option 2), 51.06 , 3.38 ,30.20, BE257 ,, BE37012 ,, NaN , Other ,5393.00, 2.00 ,2174.85,2011,34473.68, 5.64 ,2015, NaN , NaN , NaN 
IT4564,Rumo,it,Europe EU27,2014,837.00,As a group of signatories committing collectively (joint SEAP - option 2), 46.46 , 10.99 ,30.85, ITH20 ,, IT022163 ,, NaN , Other ,811.00, 3.00 ,3121.33,2014,33155.56, 4.04 ,2014, NaN , NaN , NaN 
IT4724,SABBIO CHIESE,it,Europe EU27,2017,3905.00,As a group of signatories committing collectively (joint SEAP - option 2), 45.64 , 10.43 ,18.45, ITC47 ,, IT017168 ,, NaN , Other ,3899.00, 3.00 ,2452.19,2015,30794.44, 4.14 ,2017, NaN , NaN , NaN 
IT4499,Sagama,it,Europe EU27,2014,201.00,As a group of signatories committing collectively (joint SEAP - option 2), 40.30 , 8.58 ,11.72, ITG28 ,, IT095086 ,, NaN , Other ,199.00, 3.00 ,998.50,2007,17516.67, 4.04 ,2014, NaN , NaN , NaN 
FR0170,Saint-Germain-sur-Ille,fr,Europe EU27,2008,918.00,As a group of signatories committing collectively (joint SEAP - option 2), 48.25 ,-1.65 ,NaN, FRH03 ,, FR35274 ,, NaN , Other ,918.00, 3.00 ,2094.27,2006,32950.00, 4.26 ,2008, NaN , NaN , NaN 
FR0171,Saint-Gondran,fr,Europe EU27,2008,536.00,As a group of signatories committing collectively (joint SEAP - option 2), 48.27 ,-1.83 ,NaN, FRH03 ,, FR35276 ,, NaN , Other ,536.00, 3.00 ,2094.27,2006,32950.00, 4.26 ,2008, NaN , NaN , NaN 
FR0172,Saint-Médard-sur-Ille,fr,Europe EU27,2008,1325.00,As a group of signatories committing collectively (joint SEAP - option 2), 48.27 ,-1.67 ,NaN, FRH03 ,, FR35296 ,, NaN , Other ,1307.00, 3.00 ,2094.27,2006,32950.00, 4.26 ,2008, NaN , NaN , NaN 
FR0173,Saint-Symphorien,fr,Europe EU27,2008,484.00,As a group of signatories committing collectively (joint SEAP - option 2), 49.31 , 0.46 ,NaN, FRD21 ,, FR27606 ,, NaN , Other ,484.00, 3.00 ,2470.36,2006,23150.00, 4.26 ,2008, NaN , NaN , NaN 
IT4268,Sala Consilina,it,Europe EU27,2012,12732.00,As a group of signatories committing collectively (joint SEAP - option 2), 40.38 , 15.56 ,59.70, ITF35 ,, IT065114 ,, NaN , Other ,12636.00, 2.00 ,1213.72,2011,16644.44, 4.53 ,2012, NaN , NaN , NaN 
